totalProteinIdealValue,totalLipidIdealValue,totalCaloriesIdealValue,firstMealProteinFoodTotalGrams,firstMealProteinFoodTotalKcal,firstMealLipidFoodTotalGrams,firstMealLipidFoodTotalKcal,firstMealCarboFoodTotalGrams,firstMealCarboFoodTotalKcal,secondMealProteinFoodTotalGrams,secondMealProteinFoodTotalKcal,secondMealLipidFoodTotalGrams,secondMealLipidFoodTotalKcal,secondMealCarboFoodTotalGrams,secondMealCarboFoodTotalKcal,thirdMealProteinFoodTotalGrams,thirdMealProteinFoodTotalKcal,thirdMealLipidFoodTotalGrams,thirdMealLipidFoodTotalKcal,thirdMealCarboFoodTotalGrams,thirdMealCarboFoodTotalKcal,fourthMealProteinFoodTotalGrams,fourthMealProteinFoodTotalKcal,fourthMealLipidFoodTotalGrams,fourthMealLipidFoodTotalKcal,fourthMealCarboFoodTotalGrams,fourthMealCarboFoodTotalKcal,totalProteinCalculated,totalLipidCalculated,totalCaloriesCalculated
86.7,51,2020.7771250000003,26,57.00740933333343,15,90.86716393755286,200,256.516971333334,78,165.687912,12,72.69373115004228,480,368.4461304164889,29,63.41577899999999,12,72.69373115004228,217,268.070716725,83,176.30893200000003,5,44.2,502,385.3332447272447,87.4153227612399,51.593476666666604,2021.2417217730313
220.00000000000003,100,2570.8967500000003,148,344.6674270666672,4,24.231243716680762,190,145.84325995652688,207,482.06863110000074,10,60.57810929170191,444,229.0528362650419,147,312.257988,7,42.404676504191336,45,167.00517586956508,171,373.93442099999993,26,157.50308415842494,302,231.81402372037428,221.56527815206272,100.29591999999987,2571.3608766491584
216.0,135,3105.0930250000006,127,206.85094944981878,23,203.32,171,211.24466617500002,223,519.3299745666675,14,123.75999999999999,231,289.5775575,110,240.54260999999997,32,193.8499497334461,244,187.29344962838186,137,300.3851953333338,59,336.3988996359552,382,293.2217121231224,217.71380437658803,135.13527000000113,3105.7749641457413
276.0,120,4488.676100000001,105,230.22223000000037,32,182.4536404805181,131,486.17062308695614,225,366.4682175292065,28,247.51999999999998,572,733.6385380133354,120,263.1111200000004,14,123.75999999999999,138,512.1492059999996,173,379.31853133333396,23,203.32,1475,760.9300303849927,278.0946648943175,120.83096666666809,4489.062136828279
188.0,94,3789.2308,123,261.27709200000004,11,62.71843891517809,566,434.4593954494432,143,312.70539299999996,28,169.61870601676534,853,654.7594775943022,100,212.42040000000003,16,91.22682024025904,355,455.3176241166679,142,301.636968,12,106.08,1410,727.3975205714169,189.47985379048168,94.24698333333313,3789.617835903987
242.0,121,3772.0577499999995,149,242.68339738600787,20,176.8,437,335.4394979000118,174,380.4946739999999,39,222.36537433563143,429,529.964688825,176,373.85990400000003,5,44.2,439,336.9746901100805,194,451.793789533334,6,53.04,506,625.08655605,243.84326159311092,121.89530666666363,3772.7025721400987
180.0,100,2907.4952000000003,110,240.54260999999997,10,88.4,202,253.223665,174,369.61149600000005,8,70.72,350,432.37212375,125,265.5255,11,66.6359202208721,199,249.4629175,168,356.86627200000004,22,125.43687783035618,507,389.17122525241643,181.41060563048333,100.04494666666666,2907.9686075536747
100.3,59,2412.8891000000003,43,94.28148466666681,16,96.92497486672305,233,292.0847225,76,161.43950400000003,10,88.4,919,474.0981002873277,33,70.09873200000001,16,91.22682024025904,88,326.5878994782606,42,89.21656800000001,18,109.04059672506342,140,519.5716582608692,101.16928448315403,59.04789666666644,2412.971061025151
182.39999999999998,96,3932.77105,103,218.79301200000003,8,70.72,392,502.7732638133347,174,369.61149600000005,17,102.98278579589324,922,707.7236088416724,84,195.6220532000003,18,102.63017277029142,381,488.6648303900013,94,205.55459399999998,32,182.4536404805181,636,785.6819163,183.8082137930823,97.94257666666623,3933.211373591717
105.8,46,2559.6462,44,93.46497600000001,10,57.0167626501619,701,361.63522122025756,39,63.521157705062464,21,127.214029512574,156,578.9512763478257,48,101.961792,2,12.115621858340381,323,399.01770277500003,78,171.02222800000027,7,61.879999999999995,425,532.7725625,106.40751806069791,47.55185999999986,2560.57333056922
170.2,74,2394.15855,86,188.56296933333363,9,79.56,165,211.62650135000058,147,239.4259021190816,18,159.12,250,320.64621416666756,95,221.23922683333367,5,30.289054645850953,62,230.09602008695634,128,298.0907477333338,7,42.404676504191336,101,374.83383917391274,171.6446363289877,74.2531033333328,2395.895151946658
166.4,104,3462.4899,99,161.24601571285086,18,159.12,485,372.2841109416607,79,128.67106304358808,59,336.3988996359552,155,575.2400502173908,101,214.54460400000002,18,109.04059672506342,481,369.21372652152326,111,235.78664400000002,27,153.94525915543713,524,647.3228367,167.80788753735166,104.39081999999998,3462.8138066534925
118.4,74,2975.8607500000003,70,153.07256999999998,9,79.56,290,363.538925,72,152.942688,25,151.44527322925475,459,588.7064492100017,48,101.961792,12,72.69373115004228,341,421.253983425,51,111.52430099999998,14,123.75999999999999,177,656.887025086956,119.27993533925869,74.47669999999961,2977.3467381012383
294.8,134,3825.4737250000007,185,301.3183121906809,21,185.64,363,278.63738612746977,321,681.869484,11,62.71843891517809,526,403.75555124806914,148,324.5037146666672,34,193.85699301055047,197,246.95575250000002,304,645.7580160000001,6,53.04,583,447.5085292350272,297.04815279974946,134.60292000000393,3825.562177893652
107.10000000000001,51,2402.5082,31,67.97037266666678,15,90.86716393755286,624,321.91209421032914,62,135.57856199999998,20,114.0335253003238,368,471.9912272533346,35,76.74074333333346,14,84.80935300838267,249,319.3636293100009,53,115.89780299999998,13,78.75154207921247,425,525.023293125,107.89678379917217,52.649673333333105,2402.939309224146
136.4,62,1711.1844,63,138.1333380000002,16,91.22682024025904,92,113.65210110000001,125,273.34387499999997,8,70.72,221,169.6387392125918,88,204.93738906666698,2,17.68,94,120.562976526667,111,180.79098731440854,14,123.75999999999999,401,206.86979131144548,137.50079810657735,62.555296666666585,1711.3160177720379
220.5,105,3778.1061000000004,107,249.1852344333337,15,85.52514397524286,114,423.0797788695649,200,325.749526692628,25,221.0,765,587.2110203512792,91,148.21603464514575,34,205.96557159178647,779,401.87423299654876,142,311.3481586666672,20,176.8,501,642.5750131900018,222.19246799823168,106.01158333333278,3778.5297154121727
237.5,125,3447.191575,140,326.0367553333338,8,70.72,79,293.1868643043476,225,523.9876425000008,19,115.09840765423363,515,395.31199409269124,112,182.4197349478717,45,256.57543192572854,203,250.775831775,179,391.42842899999994,20,176.8,902,465.3280592591617,239.25925391364206,125.91151000000161,3447.669150792345
212.8,133,3919.3252500000003,135,286.76754000000005,25,142.54190662540475,462,354.6294005258706,163,356.4404129999999,23,203.32,499,616.439113575,100,162.874763346314,51,290.7854895158257,431,330.83392126980567,135,286.76754000000005,43,245.1720793956962,175,649.4645728260865,214.47157259701513,133.29189666666483,3926.036740080036
190.8,106,4006.3123499999997,70,153.07256999999998,33,188.1553167455343,892,460.1692115955346,135,219.88093051752392,59,336.3988996359552,842,646.3159204389243,95,201.79938,13,78.75154207921247,422,521.31724635,120,195.44971601557683,27,238.68,1486,766.6047628149826,192.23541053323322,106.22025333333625,4006.595496193162
158.4,72,3208.18445,64,139.95206399999998,12,72.69373115004228,348,429.9014259,114,249.9555640000004,24,145.38746230008456,453,567.8728725,58,127.17037466666687,21,119.73520156533999,308,395.03613585333443,70,153.4814866666669,26,157.50308415842494,1259,649.4989208506481,159.4629916705714,72.11056666666637,3208.188323611167
199.5,95,4493.116,97,206.04778800000003,6,36.34686557502114,532,657.2056281,110,240.54260999999997,16,141.44,261,968.6300200434775,61,133.391811,25,142.54190662540475,168,623.485989913043,186,395.10194400000006,7,61.879999999999995,1155,886.5735013146765,200.93670713536977,95.86930666666655,4493.188064571627
92.80000000000001,58,2788.267575,26,60.549683133333424,10,60.57810929170191,354,437.31351945,45,98.66667000000015,14,123.75999999999999,485,622.0536554833351,53,123.42820023333353,10,57.0167626501619,301,377.3283325,28,61.39259466666677,28,159.64693542045333,473,606.6626372033351,93.57890626882336,58.420956666666,2788.3971000323036
233.20000000000002,106,2940.0279,147,239.4259021190816,17,150.28,259,198.80739120389714,222,517.0011406000008,3,26.52,275,339.720954375,173,367.487292,4,24.231243716680762,157,196.8124525,148,324.5037146666672,39,222.36537433563143,270,333.54420975,235.1157854660612,107.3659066666658,2940.6996752669784
206.0,103,2517.262875,94,206.10371066666698,25,151.44527322925475,119,147.006522075,193,449.46495556666736,13,74.12179144521048,188,232.2455979,116,253.66311599999997,22,125.43687783035618,100,125.35825,173,402.88827623333395,19,108.33184903530761,468,241.43407065774687,207.6761975656226,103.01204999999987,2517.5002906395243
254.10000000000002,121,2392.0524,127,278.4592686666671,28,169.61870601676534,28,35.10031,236,516.073236,16,141.44,117,60.35851766443672,140,228.0246686848396,35,212.02338252095666,35,43.8753875,259,550.168836,14,84.80935300838267,20,74.2245226086956,256.2222149890259,121.02194999999998,2394.176188670742
195.5,115,2984.0729499999998,88,192.43408799999997,29,175.67651694593553,445,229.5687210314046,137,299.584887,41,248.37024809597781,271,347.5804961566676,113,184.04848258133484,20,176.8,184,235.9956136266673,182,386.60512800000004,13,114.92,307,393.75355099666774,197.11556577658325,115.9982066666681,2985.337732434631
98.7,47,2670.4415750000007,22,48.23703866666674,15,90.86716393755286,766,395.16773103383355,26,57.00740933333343,19,115.09840765423363,170,630.9084421739126,27,43.97618610350478,15,90.86716393755286,324,400.2530517,33,53.748671904283626,21,119.73520156533999,1211,624.7364520652382,99.41540661247693,47.02391000000004,2670.602920075429
308.2,134,2398.858,184,299.6895645572178,28,159.64693542045333,28,21.492690940961854,284,621.0372839999999,14,84.80935300838267,14,17.550155,181,294.80332165682836,26,157.50308415842494,26,32.11907205,267,583.8625169999999,13,114.92,13,16.059536025,308.73538324932184,108.64654999999988,2403.4935138172696
110.4,69,2503.1947999999998,48,104.96404799999999,10,88.4,596,307.46732075217335,59,125.32803600000001,24,145.38746230008456,130,482.45939695652135,51,108.334404,17,96.92849650527523,231,296.27710189000084,84,195.6220532000003,17,102.98278579589324,585,449.0437214450959,111.27985063703882,69.09695666666642,2503.194826845058
137.7,81,1676.8883999999998,85,185.87383499999999,9,79.56,92,70.61884166316038,133,282.519132,18,109.04059672506342,31,115.04801004347817,86,188.06058599999997,9,79.56,55,68.94703750000001,133,309.73491756666715,7,61.879999999999995,165,126.65335733066807,138.7810346021775,81.23753999999992,1677.496313829031
136.4,62,2302.8939000000005,95,201.79938,4,22.80670506006476,308,236.4196003505804,86,140.07229647783004,30,181.73432787510572,716,369.3734927156982,63,137.765313,12,72.69373115004228,196,251.38663190666736,69,151.28889400000025,25,151.44527322925475,755,389.4929986038438,137.4348585651838,62.47158666666654,2306.2786443690575
165.29999999999998,87,2175.3476250000003,71,155.6740793333336,26,148.24358289042095,36,133.60414069565206,156,254.08463082024986,22,194.48,266,204.1805639391376,82,179.31358199999997,21,119.73520156533999,37,137.31536682608686,136,316.72141946666716,15,90.86716393755286,189,242.40853791000066,166.65126592358172,87.22057333333314,2176.6282693844432
152.0,76,2302.4429999999998,86,140.07229647783004,13,114.92,161,206.49616192333391,106,231.79560599999996,25,151.44527322925475,597,307.98320551853607,85,138.44354884436692,13,114.92,168,207.53861940000002,131,213.36593998367135,16,141.44,436,334.67190179497743,153.13775737258942,76.91042333333327,2303.0925531719586
170.0,100,1983.2880000000002,112,237.91084800000002,14,84.80935300838267,20,74.2245226086956,157,255.713378453713,25,221.0,32,118.75923617391295,102,223.04860199999996,11,97.24,149,76.86683018804334,104,228.0296373333337,41,248.37024809597781,92,117.99780681333365,171.27547288346534,100.45173999999996,1983.9704626753937
154.8,86,3347.893125,59,129.018309,21,119.73520156533999,341,421.253983425,126,267.64970400000004,7,61.879999999999995,547,675.735861975,47,102.77729699999999,22,133.2718404417442,117,434.21345726086923,105,229.60885499999998,30,171.0502879504857,784,601.7953463469319,156.04759001774102,86.13186333333354,3347.990143965413
185.4,103,2917.3228999999997,135,286.76754000000005,6,53.04,318,244.0955614009239,146,319.26564599999995,38,216.66369807061523,442,339.2774784251836,111,242.72936099999995,11,97.24,318,244.0955614009239,155,338.94640499999997,16,141.44,513,393.7768018826225,186.68880958645454,103.44148333333327,2917.3380531802954
222.4,139,3576.5276,123,268.97037299999994,17,150.28,231,296.27710189000084,146,320.11852933333387,57,345.29522296270085,531,407.5935317732409,118,274.80240806666706,21,127.214029512574,254,313.77862695,148,241.05464975254475,77,439.02907240624666,511,392.24160967255386,224.11201153538556,139.19176666667,3576.6551553198815
129.6,81,2397.3332,69,146.570076,16,96.92497486672305,184,235.9956136266673,78,170.56657799999996,38,216.66369807061523,644,332.2297895375833,47,103.05185533333349,26,148.24358289042095,185,228.539551125,68,110.75483907549352,45,256.57543192572854,681,351.31752589300345,130.573083551183,81.41823333333328,2397.4335163445335
230.4,128,3084.55345,132,214.9946876171345,21,185.64,59,218.96234169565201,204,475.08212920000074,21,127.214029512574,262,323.66141835,112,182.4197349478717,48,273.68046072077715,126,161.60569194000044,200,465.766793333334,25,151.44527322925475,397,304.73565369863775,232.27612464123894,128.28129666666717,3085.2082142452514
249.9,119,2893.6272000000004,159,370.28460070000057,8,45.61341012012952,132,163.0660581,273,579.9076920000001,11,66.6359202208721,289,221.83527435492772,174,369.61149600000005,7,42.404676504191336,135,166.772104875,209,340.4082553937963,29,256.36,525,270.8395023404212,251.8527259815533,119.83358000000115,2893.7389906093294
195.20000000000002,122,3642.9464000000007,119,252.78027600000001,9,79.56,321,396.547004925,132,289.42223200000046,27,238.68,1095,564.8938191671641,91,198.99434099999996,15,132.6,107,397.10119595652145,123,200.33595891596624,58,351.35303389187106,705,541.1552540492181,196.63570148382834,122.16478666666916,3643.423115905707
193.79999999999998,102,2126.6827000000003,131,305.0772496333338,5,44.2,60,76.95509140000021,185,430.834283833334,19,108.33184903530761,199,102.6610685061787,91,199.525932666667,25,151.44527322925475,61,75.356284425,178,414.5324460666673,15,90.86716393755286,102,127.865415,195.29569518937114,102.40053333333304,2127.652057733285
220.8,138,2791.3325000000004,150,318.6306,25,142.54190662540475,127,97.48470533936269,212,450.331248,39,222.36537433563143,45,167.00517586956508,103,167.76100624670343,46,278.65930274182875,217,111.94699430070742,182,397.9886819999999,24,212.16,176,225.73493477333395,222.41753377680232,138.53487666666717,2792.6099302325333
153.3,73,2654.7358750000003,66,107.49734380856725,23,139.32965137091438,222,284.73383818000076,144,234.53965921869218,18,159.12,322,403.653565,78,170.56657799999996,7,61.879999999999995,242,298.95443985,102,223.04860199999996,10,88.4,948,489.05875851184624,154.29519443611503,73.9769466666665,2660.782435939992
98.6,58,3277.7619999999997,18,29.317457402336522,22,125.43687783035618,406,501.55166355,58,94.46736274086213,33,188.1553167455343,913,700.8152438963633,19,30.94620503579966,19,115.09840765423363,398,510.46877295333474,70,163.0183776666669,8,48.462487433361524,1004,770.6664894544894,99.40815850875703,58.07643333333316,3278.404662363367
130.9,77,1726.9671500000004,59,96.09611037432526,25,151.44527322925475,27,100.20310552173905,104,227.42210399999996,30,171.0502879504857,156,119.7449923853589,63,102.61110090817783,29,165.3486116854695,63,77.826982275,128,271.898112,7,61.879999999999995,147,181.596291975,131.9039478525512,77.48359666666677,1727.122972304804
