totalProteinIdealInAllMeals,totalProteinAllMeals,totalLipidIdealInAllMeals,totalLipidAllMeals,totalCaloriesIdealValue,totalCaloriesAllMeals,firstMealProteinFoodTotalGrams,firstMealLipidFoodTotalGrams,firstMealCarboFoodTotalGrams,secondMealProteinFoodTotalGrams,secondMealLipidFoodTotalGrams,secondMealCarboFoodTotalGrams,thirdMealProteinFoodTotalGrams,thirdMealLipidFoodTotalGrams,thirdMealCarboFoodTotalGrams,fourthMealProteinFoodTotalGrams,fourthMealLipidFoodTotalGrams,fourthMealCarboFoodTotalGrams
273.0,108.0862,130,51.787582,3955.3993,1787.1195,63.821507,4.047724,146.55629,100.72344,7.490677,312.31393,48.727604,12.261133,230.86412,67.50226,12.114194,261.56332
241.3,291.04117,127,138.24693,3133.692875,3368.6165,142.86177,36.822754,263.31445,243.07413,31.98898,236.32428,190.31728,13.059722,401.9501,196.80553,44.1595,402.62024
147.20000000000002,111.48384,92,61.545555,2055.2568,2149.1948,53.574535,17.67994,173.59203,76.02036,15.3384695,759.09735,41.114254,17.79998,500.9411,86.43303,12.818395,435.54666
155.20000000000002,118.4172,97,59.573063,2318.416375,3080.2703,41.76642,9.125657,802.4928,74.096954,18.49096,186.26317,39.53805,10.372592,115.555954,45.709423,23.155764,507.30518
118.0,141.3004,59,79.102425,3072.09325,2984.1018,59.484993,7.941447,699.96405,76.82967,29.42377,479.13113,48.55129,19.695656,291.36172,77.25956,15.278893,1263.8784
178.20000000000002,85.34831,99,48.303604,3592.4495,2055.8315,28.042917,15.363155,203.4835,51.09894,11.660285,324.59406,32.173676,11.794124,475.03656,39.662056,24.680777,330.7162
165.29999999999998,101.168076,87,56.822548,1390.8988000000002,1344.1134,47.44969,14.942278,89.90974,109.85109,4.0580215,98.97438,51.938908,6.753843,72.0729,70.98331,14.453728,112.657974
100.7,255.90717,53,129.05803,1646.4312,4598.481,123.032394,43.499027,605.11615,169.84764,37.6129,561.21466,152.12506,7.582361,449.1783,134.0128,53.10487,639.1435
171.60000000000002,72.72582,78,45.67659,2078.64385,1759.9268,37.849117,8.555974,160.08116,62.001007,9.350704,231.82195,38.13781,6.6744375,160.46016,64.2391,9.075982,260.90952
189.0,274.72638,90,136.92918,2915.5076000000004,4599.184,137.5563,17.553576,352.32816,252.30411,17.733442,997.75745,165.98328,6.4946566,395.0252,184.91133,48.0449,924.5107
208.0,249.71048,104,117.636665,2865.45375,2548.9705,177.16437,10.69701,123.80861,225.92798,15.17365,330.11035,143.62314,23.230917,82.11932,176.47154,45.09275,190.81319
105.8,90.70833,46,50.454437,1740.4685999999997,2190.5825,37.377205,10.180268,519.99365,57.213,22.627235,325.26324,35.30449,15.089346,340.00995,77.99697,2.8017738,335.09744
120.0,199.37099,75,123.221375,2561.6648,2408.3015,132.80324,17.603527,53.501915,176.7861,28.151115,112.05439,100.58186,43.587505,30.888472,136.53677,39.22841,124.071754
154.0,137.75854,77,65.83488,1778.0896000000002,1952.6191,94.91442,6.230188,105.484955,95.77104,28.327415,179.00865,77.11977,4.9604664,52.26685,112.58353,8.90601,183.67757
229.9,172.9201,121,78.081154,4037.504075,1511.8295,121.363655,8.203138,6.96232,132.52048,30.028708,12.10585,95.201744,25.00404,48.295498,179.07397,4.3353353,25.513748
246.40000000000003,169.4639,112,104.954865,3604.5054,3365.4749,82.68042,22.997873,270.69852,84.55673,37.3177,168.7809,76.47682,14.132091,285.88605,98.935455,27.601236,933.8907
217.6,272.6867,128,123.4093,4295.2044000000005,2605.087,158.83188,19.422514,89.96376,293.2697,3.625972,82.25768,150.13344,22.867968,70.7164,270.22824,13.535838,182.54726
190.9,209.03596,83,115.43499,2730.3498000000004,3679.095,79.871666,32.742706,302.78888,199.68187,8.802085,633.7913,107.75818,13.785886,319.0389,111.354294,57.3519,1080.422
305.9,153.53679,133,77.89429,3577.6793250000005,4145.7812,85.35254,6.7665377,411.64752,45.394764,30.450487,268.5401,70.75995,24.01534,625.8514,57.95743,29.322744,734.4211
